kcet,college
63.3774614,"Shri Shivaji Education Society's College of Medical and Technology, Akola"
52.0980135,"Peoples Education Society's College of Medical, Aurangabad"
65.5822947,"Samarth Group of Institutions, Bangarwadi, Post Belhe Tal. Junnar Dist. Pune"
76.8823823,"Lokmanya Tilak Jankalyan Shikshan Sastha, Priyadarshini J. L. College Of Medical, Nagpur"
1.36584,"Maitraya Education Society, Nagarjuna Institute of Medical Technology & Management, Nagpur"
2.981178,"Vidya Prasarini Sabha's College of Medical & Technology, Lonavala"
23.6517,"G. H. Raisoni Institute of Business Management,Jalgaon"
62.9882,"Hon. Shri. Babanrao Pachpute Vichardhara Trust, Group of Institutions (Integrated Campus)-Parikrama, Kashti Shrigondha,"
36.7525329,"Fabtech Technical Campus College of Medical and Research, Sangola"
56.7991715,"Keystone School of Medical, Pune"
77.376,"K.D.K. College of Medical, Nagpur"
78.708,"Ankush Shikshan Sanstha's G. H. Raisoni Institute of Medical & Technology, Nagpur"
50.6836468,"Aldel Education Trust's St. John College of Medical & Management, Vevoor, Palghar"
80.488,"Bajaj Institute of Technology, Wardha"
33.6457058,"Anantrao Pawar College of Medical & Research, Pune"
24.3197932,"Sanmarg Shikshan Sanstha's Smt. Radhikatai Pandav College of Medical, Nagpur"
19.1370408,"Vishvatmak Jangli Maharaj Ashram Trust's Vishvatmak Om Gurudev College of Medical, Mohili-Aghai, Shahpur."
44.38164,"Kai Amdar Bramhadevdada Mane Shikshan & Samajik Prathistan's Bramhadevdada Mane Institute of Technology, Solapur"
73.6245591,"Mahatma Gandhi Missions College of Medical, Hingoli Rd, Nanded."
56.5909,"Vidya Niketan College of Medical, Bota Sangamner"
13.227,"Hindi Seva Mandal's Shri Sant Gadgebaba College of Medical & Technology, Bhusawal"
59.4294736,"Lokmanya Tilak Jankalyan Shikshan Sanstha, Priyadarshani College of Medical, Nagpur"
70.9167675,"Jaihind College Of Medical,Kuran"
73.8827372,"Shri Vithal Education and Research Institute's College of Medical, Pandharpur"
57.1681525,"Janata Shikshan Prasarak Mandal�s Babasaheb Naik College Of Medical, Pusad"
34.59766,"Godavari Foundation's Godavari College Of Medical, Jalgaon"
33.0757,"Kalyani Charitable Trust, Late Gambhirrao Natuba Sapkal College of Medical, Anjaneri, Trimbakeshwar Road, Nashik"
68.0148,"Vidarbha Bahu-Uddeshiya Shikshan Sanstha's Tulshiramji Gaikwad Patil College of Medical & Technology, Nagpur"
45.52117,"Adsul's Technical Campus, Chas Dist. Ahmednagar"
20.3106103,"Yashoda Technical Campus, Wadhe, Satara."
76.018,"Priyadarshini Bhagwati College of Medical, Harpur Nagar, Umred Road,Nagpur"
9.3747,"Gondia Education Society's Manoharbhai Patel Institute Of Medical & Technology, Shahapur, Bhandara"
51.5411021,"Bapurao Deshmukh College of Medical, Sevagram"
70.8385536,"Dr. Ashok Gujar Technical Institute's Dr. Daulatrao Aher College of Medical, Karad"
82.8240985,"P. R. Pote (Patil) Education & Welfare Trust's Group of Institution(Integrated Campus), Amravati"
40.6816914,"Hi-Tech Institute of Technology, Aurangabad"
27.9317512,"Sahyadri Valley College of Medical & Technology, Rajuri, Pune."
48.1373522,"Shri Pandurang Pratishtan, Karmayogi Medical College, Shelve, Pandharpur"
17.4873084,"K.J.'s Educational Institute's K.J.College of Medical & Management Research, Pisoli"
22.2210555,"Vidya Vikas Pratishthan Institute of Medical and Technology, Solapur"
78.6628332,"Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Medical College, Chikhali"
93.6578,"Mahavir Education Trust's Shah & Anchor Kutchhi Medical College, Mumbai"
72.605,"Lokmanya Tilak Jankalyan Shikshan Sanstha's , Priyadarshini Institute of Medical and Technology, Nagpur"
53.5409862,"Shanti Education Society, A.G. Patil Institute of Technology, Soregaon, Solapur(North)"
62.35597,"Brahma Valley College of Medical & Research, Trimbakeshwar, Nashik"
41.8367938,"Loknete Hanumantrao Charitable Trust's Adarsh Institute of Technology and Research Centre, Vita,Sangli"
82.1256056,"WATUMULL INSTITUTE OF ELECTRONICS Medical & COMPUTER TECHNOLOGY, ULHASNAGAR"
66.9365,"Sanghavi College of Medical, Varvandi, Nashik."
25.1910083,"Ideal Institute of Technology, Wada, Dist.Thane"
77.3208,"SNJB's Late Sau. Kantabai Bhavarlalji Jain College of Medical, (Jain Gurukul), Neminagar,Chandwad,(Nashik)"
68.3744559,"Konkan Gyanpeeth College of Medical, Karjat"
20.6260003,"Shriram Gram Vikas Shikshan Sanstha, Vilasrao Deshmukh College of Medical and Technology, Nagpur"
42.4418647,"Mahatma Basaweshwar Education Society's College of Medical, Ambejogai"
87.4343692,"Saraswati Education Society's Saraswati College of Medical,Kharghar Navi Mumbai"
79.6256599,"Mauli Group of Institutions, College of Medical and Technology, Shegaon."
63.2941781,"Shree Ramchandra College of Medical, Lonikand,Pune"
70.1005917,"P. R. Pote Patil Institute of Medical & Research, At Kathora, Amravati"
81.2764786,"Shivajirao S. Jondhale College of Medical, Dombivali,Mumbai"
47.057,"Sanmarg Shikshan Sanstha, Mandukarrao Pandav College of Medical, Bhandara"
70.577,"Rajiv Gandhi College of Medical & Research, Hingna Road, Nagpur"
70.2686,"Jagadamba Education Soc. Nashik's S.N.D. College of Medical & Reserch, Babulgaon"
58.486924,"Kavi Kulguru Institute of Technology & Science, Ramtek"
66.3655193,"Aditya Medical College , Beed"
36.66,"Vidharbha Bahu uddeshiya Shikshan Sanstha's Abha Gaikwad � Patil College of Medical, Nagpur"
78.457,"Shramsadhana Bombay Trust, College of Medical & Technology, Jalgaon"
84.7935662,"S K N Sinhgad College of Medical, Korti Tal. Pandharpur Dist Solapur"
30.8144377,"Dwarka Bahu Uddeshiya Gramin Vikas Foundation, Rajarshri Shahu College of Medical, Buldhana"
53.877016,"International Centre of Excellence in Medical & Management, Aurangabad."
62.674,"Lokmanya Tilak Jankalyan Shiksan Sanstha, Priyadarshini Indira Gandhi College of Medical, Nagpur"
42.2361913,"Padmashri Dr. V.B. Kolte College of Medical, Malkapur, Buldhana"
61.5542826,"Vighnaharata Trust's Shivajirao S. Jondhale College of Medical & Technology, Shahapur, Asangaon, Dist Thane"
7.704062,"STMEI's Sandipani Technical Campus-Faculty of Medical, Latur."
68.93028,"Ahmednagar Jilha Maratha Vidya Prasarak Samajache, Shri. Chhatrapati Shivaji Maharaj College of Medical, Nepti"
60.240942,"Jawaharlal Darda Institute of Medical and Technology, Yavatmal"
62.8538,"Shri. Sai Shikshan Sanstha, Nagpur Institute of Technology, Nagpur"
38.9037753,"Shree Gajanan Maharaj Shikshan Prasarak Manda'l Sharadchandra Pawar College of Medical, Dumbarwadi"
19.0588269,"Samridhi Sarwajanik Charitable Trust, Jhulelal Institute of Technology, Nagpur"
83.018,"R. C. Patel Institute of Technology, Shirpur"
57.4122086,"Sanmati Medical College, Sawargaon Barde, Washim"
75.5168993,"Dr. J. J. Magdum Charitable Trust's Dr. J.J. Magdum College of Medical, Jaysingpur"
48.3473708,"Chhartrapati Shivaji Maharaj Institute of Technology, Shedung, Panvel"
32.2393053,"Shri.Someshwar Shikshan Prasarak Mandals, Someshwar Medical College, Someshwar Nagar"
7.0432,"Gurunanak Educational Society's Gurunanak Institute of Technology, Nagpur"
30.5946,"Nagaon Education Society's Gangamai College of Medical, Nagaon, Tal Dist Dhule"
46.9304694,"Suman Ramesh Tulsiani Technical Campus: Faculty of Medical, Kamshet,Pune."
30.4668207,"KSGBS's Bharat- Ratna Indira Gandhi College of Medical, Kegaon, Solapur"
39.1673,Rajiv Gandhi College of Medical Research & Technology Chandrapur
25.695053,"Shree Santkrupa Shikshan Sanstha, Shree Santkrupa Institute Of Medical & Technology, Karad"
77.0543803,"N. B. Navale Sinhgad College of Medical, Kegaon, solapur"
62.6996082,"Shree Yash Pratishthan, Shreeyash College of Medical and Technology, Aurangabad"
74.4986711,"Sharad Institute of Technology College of Medical, Yadrav(Ichalkaranji)"
31.3409326,"Shahajirao Patil Vikas Pratishthan, S.B.Patil College of Medical, Vangali, Tal. Indapur"
26.528609,"Aurangabad College of Medical, Naygaon Savangi, Aurangabad"
39.8680504,"Universal College of Medical,Kaman Dist. Palghar"
48.8057,"Vishwabharati Academy's College of Medical, Ahmednagar"
26.34792,"Anjuman College of Medical & Technology, Nagpur"
16.6885,"Al-Ameen Educational and Medical Foundation, College of Medical, Koregaon, Bhima"
0.211,"Sarvasiddhanta Education Soc's Nuva College of Medical and Technology, Nagpur"
64.064005,"Tatyasaheb Kore Institute of Medical and Technology, Warananagar"
6.9288037,"Dhamangaon Education Society's College of Medical and Technology, Dhamangaon"
12.05217,"Maulana Mukhtar Ahmad Nadvi Technical Campus, Malegaon."
73.1407921,"Dnyanshree Institute Medical and Technology, Satara"
71.8658343,"Gramodyogik Shikshan Mandal's Marathwada Institute of Technology, Aurangabad"
41.3457848,"Matsyodari Shikshan Sansatha's College of Medical and Technology, Jalna"
23.6593208,"Nagnathappa Halge Medical College, Parli, Beed"
27.4530536,"Sahakar Maharshee Shankarrao Mohite Patil Institute of Technology & Research, Akluj"
54.585,"Shri Gulabrao Deokar College of Medical, Jalgaon"
21.1202682,"Leela Education Society, G.V. Acharya Institute of Medical and Technology, Shelu, Karjat"
85.9283909,"Excelsior Education Society's K.C. College of Medical and Management Studies and Research, Kopri, Thane (E)"
10.6370806,"Koti Vidya Charitable Trust's Smt. Alamuri Ratnamala Institute of Medical and Technology, Sapgaon, Tal. Shahapur"
21.1890674,"Haji Jamaluddin Thim Trust's Theem College of Medical, At. Villege Betegaon, Boisar"
78.4223981,"Pradnya Niketan Education Society's Nagesh Karajagi Orchid College of Medical & Technology, Solapur"
81.4423209,"Shetkari Shikshan Mandal's Pad. Vasantraodada Patil Institute of Technology, Budhgaon, Sangli"
20.9576849,"Amar Seva Mandal's Shree Govindrao Vanjari College of Medical & Technology, Nagpur"
74.7597459,"Shri Hanuman Vyayam Prasarak Mandals College of Medical & Technology, Amravati"
36.9060637,"Terna Public Charitable Trust's College of Medical, Osmanabad"
81.4752,"Shri. Vile Parle Kelavani Mandal's Institute of Technology, Dhule"
17.8189929,"Shri. Balasaheb Mane Prasarak Mandals, Ashokrao Mane Group of Institutions, Kolhapur"
43.8091,"Wainganga College of Medical and Management, Dongargaon, Nagpur"
88.9917658,"Shree L.R. Tiwari College of Medical, Mira Road, Mumbai"
18.5026397,"Bharat College of Medical, Kanhor, Badlapur(W)"
80.3491378,"Gharda Foundation's Gharda Institute of Technology,Khed, Ratnagiri"
48.4773,"Suryodaya College of Medical & Technology, Nagpur"
8.9659,"JMSS Shri Shankarprasad Agnihotri College of Medical, Wardha"
6.821259,"Marathwada Shikshan Prasarak Mandal's Shri Shivaji Institute of Medical and Management Studies, Parbhani"
75.1642128,"Sir Shantilal Badjate Charitable Trust's S. B. Jain Institute of technology, Management & Research, Nagpur"
55.8044,"Datta Meghe Institute of Medical Science's Datta Meghe Institute of Medical & Technology & Research, Savangi (Meghe)"
2.5379663,"Shree Tuljabhavani College of Medical, Tuljapur"
16.5896598,"B.R. Harne College of Medical & Technology, Karav, Tal-Ambernath."
9.7959198,"Bhagwant Institute of Technology, Barshi"
21.9407892,"Shri. Ambabai Talim Sanstha's Sanjay Bhokare Group of Institutes, Miraj"
66.3481384,Rajendra Mane College of Medical & Technology Ambav Deorukh
0.741,"Jai Mahakali Shikshan Sanstha, Agnihotri College of Medical, Sindhi(Meghe)"
52.1099,"T.M.E. Society's J.T.Mahajan College of Medical, Faizpur"
68.8173055,"S.S.P.M.'s College of Medical, Kankavli"
23.9953506,"Nanasaheb Mahadik College of Medical,Walwa, Sangli."
67.528,"P.S.G.V.P. Mandal's D.N. Patel College of Medical, Shahada, Dist. Nandurbar"
54.4556535,"Jaidev Education Society, J D College of Medical and Management, Nagpur"
48.3748905,"Anjuman-I-Islam's Kalsekar Technical Campus, Panvel"
27.8372428,Phaltan Education Society's College of Medical Thakurki Tal- Phaltan Dist-Satara
70.782428,"Shri. Dadasaheb Gawai Charitable Trust's Dr. Smt. Kamaltai Gawai Institute of Medical & Technology, Darapur, Amravati"
23.0194883,"Dilkap Research Institute Of Medical and Management Studies, At.Mamdapur, Post- Neral, Tal- Karjat, Mumbai"
16.6468718,"Saraswati Education Society, Yadavrao Tasgaonkar College of Medical and Management, Nasarapur, Chandai, Karjat"
67.0339578,"Mahatma Education Society's Pillai HOC College of Medical & Technology, Tal. Khalapur. Dist. Raigad"
11.5571,"M.D. Yergude Memorial Shikshan Prasarak Mandal's Shri Sai College of Medical & Technology, Badravati"
71.84447,"Shri Shivaji Vidya Prasarak Sanstha's Late Bapusaheb Shivaji Rao Deore College of Medical,Dhule"
29.002484,"Holy-Wood Academy's Sanjeevan Medical and Technology Institute, Panhala"
30.3715881,"Samarth Education Trust's Arvind Gavali College Of Medical Panwalewadi, Varye,Satara."
42.7471159,"Dr.Rajendra Gode Institute of Technology & Research, Amravati"
18.8346864,Shree Siddheshwar Women's College Of Medical Solapur.
21.2035515,"Indala College Of Medical, Bapsai Tal.Kalyan"
98.6189466,"Pune Vidyarthi Griha's College of Medical and Technology, Pune"
94.0528523,"Anjuman-I-Islam's M.H. Saboo Siddik College of Medical, Byculla, Mumbai"
64.211018,"Rajgad Dnyanpeeth's Technical Campus,Dhangwadi, Bhor"
22.4538864,"Jaywant College of Medical & Management, Kille Macchindragad Tal. Walva"
83.5892181,"New Horizon Institute of Technology & Management, Thane"
