kcet,college
77.49,"TSSMS's Pd. Vasantdada Patil Institute of Technology, Bavdhan, Pune"
79.65,"Guru Gobind Singh College of Medical & Research Centre, Nashik."
87.01,"Dattajirao Kadam Technical Education Society's Textile & Medical Institute, Ichalkaranji."
83.14,"Nutan Maharashtra Vidya Prasarak Mandal, Nutan Maharashtra Institute of Medical &Technology, Talegaon station, Pune"
80.73,"Sinhgad Technical Education Society, Sinhgad Institute of Technology and Science, Narhe (Ambegaon)"
83.69,"Ankush Shikshan Sanstha's G.H.Raisoni College of Medical, Nagpur"
85.9,"Rizvi Education Society's Rizvi College of Medical, Bandra,Mumbai"
74.8,"Dhole Patil Education Society, Dhole Patil College of Medical, Wagholi, Tal. Haveli"
80.17,"Sinhagad Institute of Technology, Lonavala"
81.68,"Pune District Education Association's College of Medical, Pune"
82.39,"Indira College of Medical & Management, Pune"
84.59,"Krushi Jivan Vikas Pratishthan, Ballarpur Institute of Technology, Mouza Bamni"
90.06,"Amrutvahini Sheti & Shikshan Vikas Sanstha's Amrutvahini College of Medical, Sangamner"
74.56,"Prof. Ram Meghe Institute of Technology & Research, Amravati"
84.81,"Zeal Education Society's Zeal College of Medical & Reserch, Narhe, Pune"
71.39,"Shivnagar Vidya Prasarak Mandal's College of Medical, Malegaon-Baramati"
64.44,"Department of Technology, Shivaji University, Kolhapur"
87.81,"TSSM's Bhivarabai Sawant College of Medical and Research, Narhe, Pune"
82.16,"M.G.M.'s Jawaharlal Nehru Medical College, Aurangabad"
80.36,"G.H.Raisoni College of Medical & Management, Wagholi, Pune"
82.33,"S.I.E.S. Graduate School of Technology, Nerul, Navi Mumbai"
77.72,"Dr. D. Y. Patil School OF Medical, Lohegaon, Pune"
63.13,"Marathwada Mitra Mandal's Institute of Technology, Lohgaon, Pune"
69.09,"G. H.Raisoni Institute of Medical and Technology, Wagholi, Pune"
65.81,"Nutan College of Medical and Research, Talegaon Dabhade Tal. Maval, Pune"
61.66,"D. Y. Patil Institute of Medical and Technology, Ambi"
62.41,"NBN Sinhgad Technical Institutes Campus, Pune"
72.34,"Sandip Foundation's, Sandip Institute of Medical & Management, Nashik"
64.13,"Sandip Foundation, Sandip Institute of Technology and Research Centre, Mahiravani, Nashik"
70.46,"Sinhgad Academy of Medical, Kondhwa (BK) Kondhwa-Saswad Road, Pune"
74.47,"Annasaheb Dange College of Medical and Technology, Ashta, Sangli"
82.7,"Smt. Indira Gandhi College of Medical, Navi Mumbai"
80.45,"Jawahar Education Society's Annasaheb Chudaman Patil College of Medical,Kharghar, Navi Mumbai"
85.91,"ST. Vincent Pallotti College of Medical & Technology, Nagpur"
72.01,"Bharati Vidyapeeth's College of Medical, Kolhapur"
67.97,"M.S. Bidve Medical College, Latur"
90.32,"Atharva College of Medical,Malad(West),Mumbai"
67.28,"Guru Nanak Institute of Medical & Technology,Kalmeshwar, Nagpur"
87.43,"Pravara Rural College of Medical, Loni, Pravaranagar, Ahmednagar."
75.21,"Genba Sopanrao Moze Trust Parvatibai Genba Moze College of Medical,Wagholi, Pune"
79.84,"Gramin College of Medical, Vishnupuri, Nanded"
77.98,"N.Y.S.S.'s Datta Meghe College of Medical, Airoli, Navi Mumbai"
67.36,"Dr. D. Y. Patil Educational Academy's, D.Y.Patil School of Medical Academy, Ambi"
77.54,"M.G.M.'s College of Medical and Technology, Kamothe, Navi Mumbai"
72.04,"Pune Vidyarthi Griha's College Of Medical, Nashik"
77.26,"Dr. D Y Patil Pratishthan's College of Medical, Kolhapur"
71.13,"K.D.M. Education Society, Vidharbha Institute of Technology,Umred Road ,Nagpur"
73.88,"G. S. Mandal's Maharashtra Institute of Technology, Aurangabad"
70.28,"Matoshri College of Medical and Research Centre, Eklahare, Nashik"
79.52,"MET Bhujbal Knowledge City MET League's Medical College, Adgaon, Nashik."
72.1,"Dr. Babasaheb Ambedkar College of Medical and Research, Wanadongri, Nagpur"
78.36,"Vidyavardhini's College of Medical and Technology, Vasai"
67.28,"Jayawant Shikshan Prasarak Mandal, Bhivarabai Sawant Institute of Technology & Research, Wagholi"
64.94,"Deogiri Institute of Medical and Management Studies, Aurangabad"
63.4,"Cummins College of Medical For Women, Sukhali (Gupchup), Tal. Hingna Hingna Nagpur"
75.82,"Pravara Rural Education Society's Sir Visvesvaraya Institute of Technology, Chincholi Dist. Nashik"
77.31,"A. P. Shah Institute of Technology, Thane"
71.4,"K. C. E. Societys College of Medical and Information Technology, Jalgaon"
70.46,"Rasiklal M. Dhariwal Sinhgad Technical Institutes Campus, Warje, Pune."
47.47,"P.K. Technical Campus, Pune."
80.58,"Padmabhushan Vasantdada Patil Pratishthans College of Medical, Sion,Mumbai"
81.05,"CSMSS Chh. Shahu College of Medical, Aurangabad"
62.08,"Metropolitan Institute of Technology & Management, Sukhalwad, Sindhudurg."
76.71,"Rayat Shikshan Sanstha's Karmaveer Bhaurao Patil College of Medical, Satara"
70.49,"Terna Medical College, Nerul, Navi Mumbai"
57.01,"Gokhale Education Society's, R.H. Sapat College of Medical, Management Studies and Research, Nashik"
75.47,"Mahatma Education Society's Pillai College of Medical, New Panvel"
75.01,"Everest Education Society, Group of Institutions (Integrated Campus), Ohar"
68.52,"MAEER's MIT College of Railway Medical and Research, Jamgaon, Barshi"
70.02,"KJEI's Trinity Academy of Medical, Yewalewadi, Pune"
71.54,"Genba Sopanrao Moze College of Medical, Baner-Balewadi, Pune"
61.12,"D.Y. Patil College of Medical and Technology, Kolhapur"
66.75,"Dattakala Group Of Institutions, Swami - Chincholi Tal. Daund Dist. Pune"
75.05,"SKN Sinhgad Institute of Technology & Science, Kusgaon(BK),Pune."
72.6,"G.M.Vedak Institute of Technology, Tala, Raigad."
64.27,"Jagadambha Bahuuddeshiya Gramin Vikas Sanstha's Jagdambha College of Medical and Technology, Yavatmal"
71.27,"V M Institute of Medical and Technology, Dongargaon, Nagpur"
71.48,"Siddhivinayak Technical Campus, School of Medical & Research Technology, Shirasgon, Nile"
78.5,"Sant Gajanan Maharaj College of Medical, Gadhinglaj"
67.53,"Dr.D.Y.Patil College Of Medical & Innovation,Talegaon"
81.5,"Universal College of Medical & Research, Sasewadi"
75.1,"Sipna Shikshan Prasarak Mandal College of Medical & Technology, Amravati"
71.46,"Late Shri. Vishnu Waman Thakur Charitable Trust, Viva Institute of Technology, Shirgaon"
78.54,"Vishwaniketan's Institute of Management Entrepreneurship and Medical Technology(i MEET), Khalapur Dist Raigad"
73.65,Navsahyadri Education Society's Group of Institutions
68.47,"D.Y.Patil Education Society's,D.Y.Patil Technical Campus, Faculty of Medical & Faculty of Management,Talsande,Kolhapur."
75.47,"K.V.N. Naik S. P. Sansth's Loknete Gopinathji Munde Institute of Medical Education & Research, Nashik."
75.31,"College of Medical and Technology ,North Maharashtra Knowledge City, Jalgaon"
81.37,"K. J.'s Educational Institut Trinity College of Medical and Research, Pisoli, Haveli"
84.23,"Jawahar Education Society's Institute of Technology, Management & Research, Nashik."
65.92,"I.S.B.& M. School of Technology, Nande Village"
87.6,"Alard Charitable Trust's Alard College of Medical and Management, Pune"
73.24,"Lokmanya Tilak College of Medical, Kopar Khairane, Navi Mumbai"
64.68,"G. H. Raisoni College of Medical and Management, Ahmednagar"
42.88,"Prof Ram Meghe College of Medical and Management, Badnera"
63.37,"Shri Shivaji Education Society's College of Medical and Technology, Akola"
58.01,"Peoples Education Society's College of Medical, Aurangabad"
19.47,"Samarth Group of Institutions, Bangarwadi, Post Belhe Tal. Junnar Dist. Pune"
76.88,"Lokmanya Tilak Jankalyan Shikshan Sastha, Priyadarshini J. L. College Of Medical, Nagpur"
58.77,"Maitraya Education Society, Nagarjuna Institute of Medical Technology & Management, Nagpur"
29.81,"Vidya Prasarini Sabha's College of Medical & Technology, Lonavala"
65.52,"G. H. Raisoni Institute of Business Management,Jalgaon"
27.15,"Hon. Shri. Babanrao Pachpute Vichardhara Trust, Group of Institutions (Integrated Campus)-Parikrama, Kashti Shrigondha,"
28.23,"Fabtech Technical Campus College of Medical and Research, Sangola"
61.37,"Keystone School of Medical, Pune"
68.89,"K.D.K. College of Medical, Nagpur"
78.1,"Ankush Shikshan Sanstha's G. H. Raisoni Institute of Medical & Technology, Nagpur"
50.68,"Aldel Education Trust's St. John College of Medical & Management, Vevoor, Palghar"
88.09,"Bajaj Institute of Technology, Wardha"
20.67,"Anantrao Pawar College of Medical & Research, Pune"
40.53,"Sanmarg Shikshan Sanstha's Smt. Radhikatai Pandav College of Medical, Nagpur"
40.53,"Vishvatmak Jangli Maharaj Ashram Trust's Vishvatmak Om Gurudev College of Medical, Mohili-Aghai, Shahpur."
93.21,"Kai Amdar Bramhadevdada Mane Shikshan & Samajik Prathistan's Bramhadevdada Mane Institute of Technology, Solapur"
34.1,"Mahatma Gandhi Missions College of Medical, Hingoli Rd, Nanded."
48.13,"Vidya Niketan College of Medical, Bota Sangamner"
48.13,"Hindi Seva Mandal's Shri Sant Gadgebaba College of Medical & Technology, Bhusawal"
48.13,"Lokmanya Tilak Jankalyan Shikshan Sanstha, Priyadarshani College of Medical, Nagpur"
45.21,"Jaihind College Of Medical,Kuran"
35.25,"Shri Vithal Education and Research Institute's College of Medical, Pandharpur"
63.16,"Janata Shikshan Prasarak Mandal�s Babasaheb Naik College Of Medical, Pusad"
23.63,"Godavari Foundation's Godavari College Of Medical, Jalgaon"
16.27,"Kalyani Charitable Trust, Late Gambhirrao Natuba Sapkal College of Medical, Anjaneri, Trimbakeshwar Road, Nashik"
59.33,"Vidarbha Bahu-Uddeshiya Shikshan Sanstha's Tulshiramji Gaikwad Patil College of Medical & Technology, Nagpur"
22.93,"Adsul's Technical Campus, Chas Dist. Ahmednagar"
13.15,"Yashoda Technical Campus, Wadhe, Satara."
76.01,"Priyadarshini Bhagwati College of Medical, Harpur Nagar, Umred Road,Nagpur"
30.58,"Gondia Education Society's Manoharbhai Patel Institute Of Medical & Technology, Shahapur, Bhandara"
29.1,"Bapurao Deshmukh College of Medical, Sevagram"
27.87,"Dr. Ashok Gujar Technical Institute's Dr. Daulatrao Aher College of Medical, Karad"
78.42,"P. R. Pote (Patil) Education & Welfare Trust's Group of Institution(Integrated Campus), Amravati"
14.62,"Hi-Tech Institute of Technology, Aurangabad"
36.64,"Sahyadri Valley College of Medical & Technology, Rajuri, Pune."
19.42,"Shri Pandurang Pratishtan, Karmayogi Medical College, Shelve, Pandharpur"
56.27,"K.J.'s Educational Institute's K.J.College of Medical & Management Research, Pisoli"
18.96,"Vidya Vikas Pratishthan Institute of Medical and Technology, Solapur"
73.57,"Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Medical College, Chikhali"
93.03,"Mahavir Education Trust's Shah & Anchor Kutchhi Medical College, Mumbai"
46.28,"Lokmanya Tilak Jankalyan Shikshan Sanstha's , Priyadarshini Institute of Medical and Technology, Nagpur"
24.88,"Shanti Education Society, A.G. Patil Institute of Technology, Soregaon, Solapur(North)"
48.84,"Brahma Valley College of Medical & Research, Trimbakeshwar, Nashik"
25.49,"Loknete Hanumantrao Charitable Trust's Adarsh Institute of Technology and Research Centre, Vita,Sangli"
79.41,"WATUMULL INSTITUTE OF ELECTRONICS Medical & COMPUTER TECHNOLOGY, ULHASNAGAR"
70.92,"Sanghavi College of Medical, Varvandi, Nashik."
12.48,"Ideal Institute of Technology, Wada, Dist.Thane"
56.91,"SNJB's Late Sau. Kantabai Bhavarlalji Jain College of Medical, (Jain Gurukul), Neminagar,Chandwad,(Nashik)"
59.93,"Konkan Gyanpeeth College of Medical, Karjat"
20.63,"Shriram Gram Vikas Shikshan Sanstha, Vilasrao Deshmukh College of Medical and Technology, Nagpur"
48.9,"Mahatma Basaweshwar Education Society's College of Medical, Ambejogai"
86.37,"Saraswati Education Society's Saraswati College of Medical,Kharghar Navi Mumbai"
54.1,"Mauli Group of Institutions, College of Medical and Technology, Shegaon."
10.21,"Shree Ramchandra College of Medical, Lonikand,Pune"
63.33,"P. R. Pote Patil Institute of Medical & Research, At Kathora, Amravati"
64.46,"Shivajirao S. Jondhale College of Medical, Dombivali,Mumbai"
29.58,"Sanmarg Shikshan Sanstha, Mandukarrao Pandav College of Medical, Bhandara"
57.24,"Rajiv Gandhi College of Medical & Research, Hingna Road, Nagpur"
69.79,"Jagadamba Education Soc. Nashik's S.N.D. College of Medical & Reserch, Babulgaon"
41.58,"Kavi Kulguru Institute of Technology & Science, Ramtek"
46.2,"Aditya Medical College , Beed"
14.52,"Vidharbha Bahu uddeshiya Shikshan Sanstha's Abha Gaikwad � Patil College of Medical, Nagpur"
72.6,"Shramsadhana Bombay Trust, College of Medical & Technology, Jalgaon"
61.45,"S K N Sinhgad College of Medical, Korti Tal. Pandharpur Dist Solapur"
13.88,"Dwarka Bahu Uddeshiya Gramin Vikas Foundation, Rajarshri Shahu College of Medical, Buldhana"
42.62,"International Centre of Excellence in Medical & Management, Aurangabad."
62.67,"Lokmanya Tilak Jankalyan Shiksan Sanstha, Priyadarshini Indira Gandhi College of Medical, Nagpur"
15.44,"Padmashri Dr. V.B. Kolte College of Medical, Malkapur, Buldhana"
43.76,"Vighnaharata Trust's Shivajirao S. Jondhale College of Medical & Technology, Shahapur, Asangaon, Dist Thane"
21.61,"STMEI's Sandipani Technical Campus-Faculty of Medical, Latur."
56.67,"Ahmednagar Jilha Maratha Vidya Prasarak Samajache, Shri. Chhatrapati Shivaji Maharaj College of Medical, Nepti"
85.16,"Jawaharlal Darda Institute of Medical and Technology, Yavatmal"
42.71,"Shri. Sai Shikshan Sanstha, Nagpur Institute of Technology, Nagpur"
57.53,"Shree Gajanan Maharaj Shikshan Prasarak Manda'l Sharadchandra Pawar College of Medical, Dumbarwadi"
19.05,"Samridhi Sarwajanik Charitable Trust, Jhulelal Institute of Technology, Nagpur"
85.21,"R. C. Patel Institute of Technology, Shirpur"
46.56,"Sanmati Medical College, Sawargaon Barde, Washim"
79.51,"Dr. J. J. Magdum Charitable Trust's Dr. J.J. Magdum College of Medical, Jaysingpur"
22.8,"Chhartrapati Shivaji Maharaj Institute of Technology, Shedung, Panvel"
10.15,"Shri.Someshwar Shikshan Prasarak Mandals, Someshwar Medical College, Someshwar Nagar"
24.99,"Gurunanak Educational Society's Gurunanak Institute of Technology, Nagpur"
26.6,"Nagaon Education Society's Gangamai College of Medical, Nagaon, Tal Dist Dhule"
14.85,"Suman Ramesh Tulsiani Technical Campus: Faculty of Medical, Kamshet,Pune."
30.46,"KSGBS's Bharat- Ratna Indira Gandhi College of Medical, Kegaon, Solapur"
23.69,Rajiv Gandhi College of Medical Research & Technology Chandrapur
84.19,"Shree Santkrupa Shikshan Sanstha, Shree Santkrupa Institute Of Medical & Technology, Karad"
17.56,"N. B. Navale Sinhgad College of Medical, Kegaon, solapur"
49.86,"Shree Yash Pratishthan, Shreeyash College of Medical and Technology, Aurangabad"
31.78,"Sharad Institute of Technology College of Medical, Yadrav(Ichalkaranji)"
21.33,"Shahajirao Patil Vikas Pratishthan, S.B.Patil College of Medical, Vangali, Tal. Indapur"
70.82,"Aurangabad College of Medical, Naygaon Savangi, Aurangabad"
40.04,"Universal College of Medical,Kaman Dist. Palghar"
24.49,"Vishwabharati Academy's College of Medical, Ahmednagar"
62.51,"Anjuman College of Medical & Technology, Nagpur"
23.32,"Al-Ameen Educational and Medical Foundation, College of Medical, Koregaon, Bhima"
13.67,"Sarvasiddhanta Education Soc's Nuva College of Medical and Technology, Nagpur"
13.67,"Tatyasaheb Kore Institute of Medical and Technology, Warananagar"
53.86,"Dhamangaon Education Society's College of Medical and Technology, Dhamangaon"
19.48,"Maulana Mukhtar Ahmad Nadvi Technical Campus, Malegaon."
32.21,"Dnyanshree Institute Medical and Technology, Satara"
22.83,"Gramodyogik Shikshan Mandal's Marathwada Institute of Technology, Aurangabad"
25.97,"Matsyodari Shikshan Sansatha's College of Medical and Technology, Jalna"
66.32,"Nagnathappa Halge Medical College, Parli, Beed"
62.25,"Sahakar Maharshee Shankarrao Mohite Patil Institute of Technology & Research, Akluj"
34.79,"Shri Gulabrao Deokar College of Medical, Jalgaon"
12.32,"Leela Education Society, G.V. Acharya Institute of Medical and Technology, Shelu, Karjat"
86.31,"Excelsior Education Society's K.C. College of Medical and Management Studies and Research, Kopri, Thane (E)"
17.33,"Koti Vidya Charitable Trust's Smt. Alamuri Ratnamala Institute of Medical and Technology, Sapgaon, Tal. Shahapur"
42.1,"Haji Jamaluddin Thim Trust's Theem College of Medical, At. Villege Betegaon, Boisar"
67.48,"Pradnya Niketan Education Society's Nagesh Karajagi Orchid College of Medical & Technology, Solapur"
27.45,"Shetkari Shikshan Mandal's Pad. Vasantraodada Patil Institute of Technology, Budhgaon, Sangli"
45.54,"Amar Seva Mandal's Shree Govindrao Vanjari College of Medical & Technology, Nagpur"
65.23,"Shri Hanuman Vyayam Prasarak Mandals College of Medical & Technology, Amravati"
32.06,"Terna Public Charitable Trust's College of Medical, Osmanabad"
89.46,"Shri. Vile Parle Kelavani Mandal's Institute of Technology, Dhule"
32.95,"Shri. Balasaheb Mane Prasarak Mandals, Ashokrao Mane Group of Institutions, Kolhapur"
97.92,"Wainganga College of Medical and Management, Dongargaon, Nagpur"
89.18,"Shree L.R. Tiwari College of Medical, Mira Road, Mumbai"
63.14,"Bharat College of Medical, Kanhor, Badlapur(W)"
29.48,"Gharda Foundation's Gharda Institute of Technology,Khed, Ratnagiri"
11.37,"Suryodaya College of Medical & Technology, Nagpur"
35.53,"JMSS Shri Shankarprasad Agnihotri College of Medical, Wardha"
68.21,"Marathwada Shikshan Prasarak Mandal's Shri Shivaji Institute of Medical and Management Studies, Parbhani"
75.43,"Sir Shantilal Badjate Charitable Trust's S. B. Jain Institute of technology, Management & Research, Nagpur"
36.85,"Datta Meghe Institute of Medical Science's Datta Meghe Institute of Medical & Technology & Research, Savangi (Meghe)"
13.24,"Shree Tuljabhavani College of Medical, Tuljapur"
27.68,"B.R. Harne College of Medical & Technology, Karav, Tal-Ambernath."
15.34,"Bhagwant Institute of Technology, Barshi"
20.81,"Shri. Ambabai Talim Sanstha's Sanjay Bhokare Group of Institutes, Miraj"
42.39,Rajendra Mane College of Medical & Technology Ambav Deorukh
37.3,"Jai Mahakali Shikshan Sanstha, Agnihotri College of Medical, Sindhi(Meghe)"
57.93,"T.M.E. Society's J.T.Mahajan College of Medical, Faizpur"
67.28,"S.S.P.M.'s College of Medical, Kankavli"
10.74,"Nanasaheb Mahadik College of Medical,Walwa, Sangli."
78.93,"P.S.G.V.P. Mandal's D.N. Patel College of Medical, Shahada, Dist. Nandurbar"
68.74,"Jaidev Education Society, J D College of Medical and Management, Nagpur"
52.84,"Anjuman-I-Islam's Kalsekar Technical Campus, Panvel"
84.19,Phaltan Education Society's College of Medical Thakurki Tal- Phaltan Dist-Satara
67.8,"Shri. Dadasaheb Gawai Charitable Trust's Dr. Smt. Kamaltai Gawai Institute of Medical & Technology, Darapur, Amravati"
28.46,"Dilkap Research Institute Of Medical and Management Studies, At.Mamdapur, Post- Neral, Tal- Karjat, Mumbai"
37.75,"Saraswati Education Society, Yadavrao Tasgaonkar College of Medical and Management, Nasarapur, Chandai, Karjat"
67.03,"Mahatma Education Society's Pillai HOC College of Medical & Technology, Tal. Khalapur. Dist. Raigad"
51.97,"M.D. Yergude Memorial Shikshan Prasarak Mandal's Shri Sai College of Medical & Technology, Badravati"
67.57,"Shri Shivaji Vidya Prasarak Sanstha's Late Bapusaheb Shivaji Rao Deore College of Medical,Dhule"
39.01,"Holy-Wood Academy's Sanjeevan Medical and Technology Institute, Panhala"
26.72,"Samarth Education Trust's Arvind Gavali College Of Medical Panwalewadi, Varye,Satara."
60.45,"Dr.Rajendra Gode Institute of Technology & Research, Amravati"
16.4,Shree Siddheshwar Women's College Of Medical Solapur.
89.25,"Indala College Of Medical, Bapsai Tal.Kalyan"
97.93,"Pune Vidyarthi Griha's College of Medical and Technology, Pune"
69.58,"Anjuman-I-Islam's M.H. Saboo Siddik College of Medical, Byculla, Mumbai"
42.64,"Rajgad Dnyanpeeth's Technical Campus,Dhangwadi, Bhor"
22.45,"Jaywant College of Medical & Management, Kille Macchindragad Tal. Walva"
68.58,"New Horizon Institute of Technology & Management, Thane"
